sistema;num_cicloe;calle_prin;calle_secu;colonia;alcaldia;latitud;longitud;sitio_de_e;estatus
Ecobici;486;Izcoatl;Circuito Interior Melchor Ocampo;Tlaxpana;Miguel Hidalgo;19.437.334;-99.169.573;Arroyo;Instalada
Ecobici;487;Atzayacatl;Quetzalcoatl;Tlaxpana;Miguel Hidalgo;19.439.741;-99.168.901;Arroyo;Instalada
Ecobici;488;Huetzin;Laguna de Guzman;Anahuac;Miguel Hidalgo;1.944.484;-9.917.049;Arroyo;Instalada
Ecobici;489;Lago Chalco;Laguna Tamiahua;Anahuac;Miguel Hidalgo;19.446.449;-99.176.028;Arroyo;Instalada
Ecobici;490;Lago Garda;Ferrocarril de Cuernavaca;Anahuac;Miguel Hidalgo;19.448.935;-99.179.295;Arroyo;Instalada
Ecobici;491;Colegio Salesiano;Lago Catemaco;Anahuac;Miguel Hidalgo;19.449.405;-99.176.635;Arroyo;Instalada
Ecobici;492;Lago Cuitzeo;Felipe Carrillo Puerto;Anahuac;Miguel Hidalgo;19.449.125;-99.173.442;Arroyo;Instalada
Ecobici;493;Lago Tlahuac;Laguna de Guzman;Anahuac;Miguel Hidalgo;19.445.916;-99.170.401;Arroyo;Instalada
Ecobici;494;Tlaloc;Calzada Mexico Tacuba;Tlaxpana;Miguel Hidalgo;19.444.053;-99.167.429;Arroyo;Instalada
Ecobici;495;Amado Nervo;Avenida de los Maestros;Agricultura;Miguel Hidalgo;19.445.528;-99.166.934;Arroyo;Instalada
Ecobici;496;Maestro Rural;Jose Parres;Un Hogar para Nosotros;Miguel Hidalgo;19.449.039;-99.170.246;Arroyo;Instalada
Ecobici;497;Manuel Carpio;Plan de Ayala;Santo Tomas;Miguel Hidalgo;19.452.688;-99.170.157;Arroyo;Instalada
Ecobici;498;Avenida de los Maestros;Plan de Agua Prieta;Plutarco Elias Calles;Miguel Hidalgo;19.453.197;-9.916.645;Arroyo;Instalada
Ecobici;499;Avenida de los Maestros;Calzada de los Gallos;Agricultura;Miguel Hidalgo;19.455.986;-99.165.966;Arroyo;Instalada
Ecobici;500;Ferrocarril de Cuernavaca;Juan Sarabia;Plutarco Elias Calles;Miguel Hidalgo;19.456.546;-99.169.344;Arroyo;Instalada
Ecobici;501;Plan de Guadalupe /Ferrocarril de Cuernavaca;Eligio Ancona;Nextitla;Miguel Hidalgo;19.454.257;-99.172.593;Arroyo;Instalada
Ecobici;502;Mar Mediterraneo;Callejon de la Zanja;Popotla;Miguel Hidalgo;19.453.432;-99.174.636;Arroyo;Instalada
Ecobici;503;Nextitla;Mar Egeo;Nextitla;Miguel Hidalgo;19.455.531;-99.175.222;Arroyo;Instalada
Ecobici;504;Mar Blanco;Calzada Mexico Tacuba;Popotla;Miguel Hidalgo;19.455.343;-99.179.056;Arroyo;Instalada
Ecobici;505;Mar Negro;Eje 4 Poniente;Popotla;Miguel Hidalgo;194.553.348;-991.814.278;Arroyo;Instalada
Ecobici;506;Mar Mediterraneo;Mar Arabigo;Tacuba;Miguel Hidalgo;19.459.553;-99.185.111;Arroyo;Instalada
Ecobici;507;Mar Mediterraneo;Avenida Azcapotzalco;Tacuba;Miguel Hidalgo;19.460.292;-99.188.303;Arroyo;Instalada
Ecobici;508;Libertad;Jose Sanchez Trujillo;San Alvaro;Azcapotzalco;19.462.421;-99.183.614;Banqueta;Instalada
Ecobici;509;Benito Juarez;Venecia;San Alvaro;Azcapotzalco;1.945.968;-991.818;Arroyo;Instalada
Ecobici;510;Egipto;Calle Norte 79 A;Claveria;Azcapotzalco;19.462.152;-99.178.291;Arroyo;Instalada
Ecobici;511;Palestina;Egipto;Claveria;Azcapotzalco;19.463.865;-9.918.229;Arroyo;Instalada
Ecobici;512;Avenida Claveria;Floresta;Claveria;Azcapotzalco;19.465.636;-99.186.342;Arroyo;Instalada
Ecobici;513;Avenida Aquiles Serdan;Av. Invierno;Angel Zimbron;Azcapotzalco;1.946.961;-9.918.983;Arroyo;Instalada
Ecobici;514;Jose F. Gutierrez;Avenida Invierno;Angel Zimbron;Azcapotzalco;19.470.485;-99.188.509;Arroyo;Instalada
Ecobici;515;Tebas;Salonica;Del Recreo;Azcapotzalco;1.946.969;-9.918.405;Arroyo;Instalada
Ecobici;516;Texcoco;Nilo;Claveria;Azcapotzalco;1.946.669;-99.180.302;Arroyo;Instalada
Ecobici;517;Ignacio Allende;Avenida Claveria;Claveria;Azcapotzalco;19.465.377;-99.179.197;Arroyo;Instalada
Ecobici;518;Avenida Heliopolis;Norte 79A;Claveria;Azcapotzalco;19.468.315;-99.177.386;Arroyo;Instalada
Ecobici;519;Poniente 58;Avenida Cuitlahuac;Obrero Popular;Azcapotzalco;19.464.891;-99.177.242;Arroyo;Instalada
Ecobici;520;Salonica;Camarones;Sector Naval;Azcapotzalco;1.947.072;-9.917.835;Camellón;Instalada
Ecobici;521;Yuca;Clavelinas;Nueva Santa Maria;Azcapotzalco;19.466.423;-99.173.061;Arroyo;Instalada
Ecobici;522;Prolongacion Nueces;Av. Cuitlahuac;Unidad Habitacional Cuitláhuac;Azcapotzalco;194.705.145;-991.700.615;Banqueta;Instalada
Ecobici;523;Toronjil;Av. Cuitlahuac;Victoria de las Democracias;Azcapotzalco;1.947.111;-991.653;Arroyo;Instalada
Ecobici;524;Malvon;Juan Sarabia;Hogar y Seguridad;Azcapotzalco;19.468.246;-99.168.165;Arroyo;Instalada
Ecobici;525;Boldo;Tila;Hogar y Seguridad;Azcapotzalco;19.468.293;-9.916.557;Arroyo;Instalada
Ecobici;526;Toronjil;Mejorana;Ignacio Allende;Azcapotzalco;19.466.937;-99.162.948;Arroyo;Instalada
Ecobici;527;Boldo;Alcanfores;Nueva Santa Maria;Azcapotzalco;19.464.826;-99.163.177;Arroyo;Instalada
Ecobici;528;Tlatilco;Av. Jardin;Tlatilco;Azcapotzalco;19.464.966;-99.160.413;Arroyo;Instalada
Ecobici;529;Avenida Plan de San Luis;Clavelinas;Nueva Santa Maria;Azcapotzalco;19.465.552;-99.166.851;Arroyo;Instalada
Ecobici;530;Membrillo;Cda. de Nueces;Nueva Santa Maria;Azcapotzalco;19.464.564;-99.169.496;Arroyo;Instalada
Ecobici;531;Norte 67;Poniente 44;San Salvador Xochimanca;Azcapotzalco;19.460.356;-99.174.283;Arroyo;Instalada
Ecobici;532;Biologo Maximino Martinez;Calzada Camarones;San Salvador Xochimanca;Azcapotzalco;194.608.519;-991.711.992;Arroyo;Instalada
Ecobici;533;Av. Plan de San Luis;Eje 2 Norte Eulalia Guzmán;Nueva Santa Maria;Azcapotzalco;1.946.047;-9.916.727;Arroyo;Instalada
Ecobici;534;Tlatilco;Jazmin;Tlatilco;Azcapotzalco;1.945.883;-99.164.513;Arroyo;Instalada
Ecobici;535;Av. Jardin;Orquídea;Tlatilco;Azcapotzalco;1.946.173;-9.916.225;Arroyo;Instalada
Ecobici;536;Fresno;Eje 2 Norte Eulalia Guzmán;Atlampa;Cuauhtemoc;19.458.881;-99.159.215;Arroyo;Instalada
Ecobici;537;Fresno;Clavel;Atlampa;Cuauhtemoc;19.457.594;-99.159.455;Arroyo;Instalada
Ecobici;538;Eligio Ancona;Circuito Interior Instituto Tecnico Industrial;Santa Maria la Ribera;Cuauhtemoc;19.453.663;-99.163.756;Arroyo;Instalada
Ecobici;539;Naranjo;Av. Ricardo Flores Magón;Atlampa;Cuauhtemoc;19.455.189;-99.157.644;Arroyo;Instalada
Ecobici;540;Eucalipto;Av. Ricardo Flores Magon;Santa Maria la Ribera;Cuauhtemoc;19.453.975;-99.152.525;Arroyo;Instalada
Ecobici;541;Eligio Ancona;Naranjo;Santa Maria la Ribera;Cuauhtemoc;1.945.272;-99.158.014;Arroyo;Instalada
